date,post-name,r-title,r-url,a-title,a-url,d-title,d-url,notes
2024-08-20,"Tue, Aug 20",Pitch and Pitch Class,https://viva.pressbooks.pub/openmusictheory/chapter/pitch-and-pitch-class/,Pitch and pitch class,https://viva.pressbooks.pub/openmusictheory/chapter/pitch-and-pitch-class/#assignments,Getting to Know You survey,https://forms.office.com/Pages/ResponsePage.aspx?id=VXKFnlffR0ygwAVGRgOAy-R6DEGoI95Pu0sh7qW5mvpURDk0UUE5SEtJNFJGWlk0OElGSFNINUNaSC4u,
2024-08-22,"Thu, Aug 22",Intervals in Integer Notation,https://viva.pressbooks.pub/openmusictheory/chapter/intervals-in-integer-notation/,Intervals,https://viva.pressbooks.pub/openmusictheory/chapter/intervals-in-integer-notation/#assignments,Pitch and pitch class,https://viva.pressbooks.pub/openmusictheory/chapter/pitch-and-pitch-class/#assignments,"Don't forget the ""Getting to Know You"" survey."
2024-08-27,"Tue, Aug 27","Pitch Class Sets, Normal Order, and Transformations",https://viva.pressbooks.pub/openmusictheory/chapter/pc-sets-normal-order-and-transformations/,Normal form and transformations,https://viva.pressbooks.pub/openmusictheory/chapter/pc-sets-normal-order-and-transformations/#assignments,Intervals,https://viva.pressbooks.pub/openmusictheory/chapter/intervals-in-integer-notation/#assignments,
2024-08-29,"Thu, Aug 29","Pitch Class Sets, Normal Order, and Transformations",https://viva.pressbooks.pub/openmusictheory/chapter/pc-sets-normal-order-and-transformations/,Composition Prep Worksheet,https://viva.pressbooks.pub/openmusictheory/chapter/pc-sets-normal-order-and-transformations/#assignments,Normal form and transformations,https://viva.pressbooks.pub/openmusictheory/chapter/pc-sets-normal-order-and-transformations/#assignments,Don't skip this assignment! This is meant to help you with your composition!
2024-09-03,"Tue, Sep 3",Set Class and Prime Form,https://viva.pressbooks.pub/openmusictheory/chapter/set-class-and-prime-form/,Guided analysis of Webern Op. 5 mvt. III,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/EXVPEo49EqtHn9-Iv23zHu0B795jlyAsnV3MUHYHG6YVow?e=A1cXNC,Composition Prep Worksheet,https://viva.pressbooks.pub/openmusictheory/chapter/pc-sets-normal-order-and-transformations/#assignments,Focus on questions 4 and 5 in the Webern worksheet.
2024-09-05,"Thu, Sep 5",Set Class and Prime Form,https://viva.pressbooks.pub/openmusictheory/chapter/set-class-and-prime-form/,Set class composition project,https://viva.pressbooks.pub/openmusictheory/chapter/set-class-and-prime-form/#assignments,Guided analysis of Webern Op. 5 mvt. III,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/EXVPEo49EqtHn9-Iv23zHu0B795jlyAsnV3MUHYHG6YVow?e=A1cXNC,
2024-09-10,"Tue, Sep 10",Interval Class Vectors,https://viva.pressbooks.pub/openmusictheory/chapter/interval-class-vectors/,Interval class vectors,https://viva.pressbooks.pub/openmusictheory/chapter/interval-class-vectors/#assignments,Set class composition project,https://viva.pressbooks.pub/openmusictheory/chapter/set-class-and-prime-form/#assignments,Composition performances today!
2024-09-12,"Thu, Sep 12",Analyzing with Set Theory (or not!),https://viva.pressbooks.pub/openmusictheory/chapter/analyzing-with-set-theory/,Atonal analysis using pc sets,https://viva.pressbooks.pub/openmusictheory/chapter/analyzing-with-set-theory/#assignments,Interval class vectors,https://viva.pressbooks.pub/openmusictheory/chapter/interval-class-vectors/#assignments,
2024-09-17,"Tue, Sep 17",Neo-Riemannian Triadic Progressions,https://viva.pressbooks.pub/openmusictheory/chapter/neo-riemannian-triadic-progressions/,Neo-Riemannian Transformations,https://viva.pressbooks.pub/openmusictheory/chapter/neo-riemannian-triadic-progressions/#assignments,Atonal analysis using pc sets,https://viva.pressbooks.pub/openmusictheory/chapter/analyzing-with-set-theory/#assignments,Optional set class comp revisions due
2024-09-19,"Thu, Sep 19",Neo-Riemannian Triadic Progressions,https://viva.pressbooks.pub/openmusictheory/chapter/neo-riemannian-triadic-progressions/,Composing with Neo-Riemannian Transformations,https://viva.pressbooks.pub/openmusictheory/chapter/neo-riemannian-triadic-progressions/#assignments,Neo-Riemannian Transformations,https://viva.pressbooks.pub/openmusictheory/chapter/neo-riemannian-triadic-progressions/#assignments,
2024-09-24,"Tue, Sep 24",Modes,https://viva.pressbooks.pub/openmusictheory/chapter/diatonic-modes/,Identifying Modes,https://viva.pressbooks.pub/openmusictheory/chapter/diatonic-modes/#assignments,Composing with Neo-Riemannian Transformations,https://viva.pressbooks.pub/openmusictheory/chapter/neo-riemannian-triadic-progressions/#assignments,
2024-09-26,"Thu, Sep 26",Debussy,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/EdD-4_aTlUJOrqcxMl169dcBDBBsx5BSSXFsJzGzwW9HIg?e=2H2lHP,Debussy composition prep,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/Ej6qhOulVg1IszRvygbKKiABl2k72jJo9pBraUV4vLtewQ?e=lL7nX8,Identifying Modes,https://viva.pressbooks.pub/openmusictheory/chapter/diatonic-modes/#assignments,
2024-10-01,"Tue, Oct 1",Other collections and scales,https://viva.pressbooks.pub/openmusictheory/chapter/collections/,Collections,https://viva.pressbooks.pub/openmusictheory/chapter/collections/#assignments,Debussy composition prep,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/Ej6qhOulVg1IszRvygbKKiABl2k72jJo9pBraUV4vLtewQ?e=lL7nX8,
2024-10-03,"Thu, Oct 3","Analyzing with Modes, Scales, and Collections",https://viva.pressbooks.pub/openmusictheory/chapter/analyzing-with-collections-scales-and-modes/,Debussy Composition Project,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/Ej6qhOulVg1IszRvygbKKiABl2k72jJo9pBraUV4vLtewQ?e=lL7nX8,Collections,https://viva.pressbooks.pub/openmusictheory/chapter/collections/#assignments,
2024-10-08,"Tue, Oct 8",No class (Monday classes meet),,Debussy Composition Project,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/Ej6qhOulVg1IszRvygbKKiABl2k72jJo9pBraUV4vLtewQ?e=lL7nX8,Debussy Composition Project,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/Ej6qhOulVg1IszRvygbKKiABl2k72jJo9pBraUV4vLtewQ?e=lL7nX8,
2024-10-10,"Thu, Oct 10",Metrical dissonance,https://viva.pressbooks.pub/openmusictheory/chapter/metrical-dissonance/,Grouping Dissonance Composition Exercise,https://viva.pressbooks.pub/openmusictheory/chapter/metrical-dissonance/#assignments,none (your project was due Tuesday),,
2024-10-15,"Tue, Oct 15",Intro to Film Music Analysis,/mm-lessons/intro,Film analysis intro,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,Grouping Dissonance Composition Exercise,https://viva.pressbooks.pub/openmusictheory/chapter/metrical-dissonance/#assignments,Optional Debussy comp revisions due
2024-10-17,"Thu, Oct 17",Topic Theory,/mm-lessons/topics,Film topics,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,Film analysis intro,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,
2024-10-22,"Tue, Oct 22",Topic Theory: Copland Americana,http://www.smt-v.org/archives/volume8.html#appropriating-coplands-fanfare,The Fanfare Topic,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,Film topics,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,
2024-10-24,"Thu, Oct 24",Topic Theory in Video Game Music,/mm-lessons/topics,Listening to Topics in Video Game Music,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,The Fanfare Topic,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,
